Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
2025-11-12,2025-12-16,PE,"26,500.00",562.10,564.00,530.10,533.05,533.05,678.30,900,"2,43,42,540.00","4,92,540.00",450,450
2025-11-12,2025-12-16,CE,"25,900.00",431.00,473.65,407.60,468.90,468.90,445.75,3225,"8,49,13,192.50","13,85,692.50",1650,1650
2025-11-12,2025-12-16,CE,"27,450.00",51.00,51.00,13.00,21.00,20.00,21.00,1575,"4,32,69,191.25","35,441.25",675,675
2025-11-12,2025-12-16,CE,"26,200.00",252.05,303.20,252.05,286.75,286.75,286.75,1125,"2,97,94,035.00","3,19,035.00",750,750
2025-11-12,2025-12-16,CE,"25,800.00",488.00,541.65,468.90,505.50,504.80,505.50,3150,"8,28,46,500.00","15,76,500.00",975,975
2025-11-12,2025-12-16,CE,"26,500.00",172.80,173.65,158.35,160.80,158.35,160.80,5775,"15,39,86,467.50","9,48,967.50",4200,4200
2025-11-12,2025-12-16,CE,"26,350.00",213.45,225.00,201.65,222.35,222.35,222.35,975,"2,59,03,001.25","2,11,751.25",225,225
2025-11-12,2025-12-16,PE,"25,600.00",180.50,180.80,143.85,151.85,155.50,151.85,30000,"77,27,34,082.50","47,34,082.50",26475,26475
2025-11-12,2025-12-16,PE,"25,000.00",84.40,84.60,57.05,60.40,63.05,60.40,8700,"21,80,42,902.50","5,42,902.50",5925,5925
2025-11-12,2025-12-16,PE,"25,700.00",205.95,208.70,168.80,182.95,185.00,182.95,12300,"31,84,26,761.25","23,16,761.25",8025,8025
2025-11-12,2025-12-16,CE,"26,100.00",319.90,335.00,319.90,334.35,334.35,346.60,600,"1,58,58,870.00","1,98,870.00",600,600
2025-11-12,2025-12-16,CE,"25,850.00",463.15,463.15,451.60,451.60,451.60,473.10,150,"39,46,106.25","68,606.25",75,75
2025-11-12,2025-12-16,PE,"25,900.00",246.00,250.00,233.15,242.65,250.00,242.65,1950,"5,09,76,693.75","4,71,693.75",1350,1350
2025-11-12,2025-12-16,PE,"24,000.00",25.55,25.55,25.55,25.55,25.55,5.25,75,"18,01,916.25","1,916.25",75,75
2025-11-12,2025-12-16,PE,"26,000.00",321.70,323.40,271.20,292.25,288.60,292.25,52200,"1,37,23,24,458.75","1,51,24,458.75",25350,25350
2025-11-12,2025-12-16,PE,"25,850.00",231.25,233.00,215.70,230.15,233.00,230.15,525,"1,36,92,146.25","1,20,896.25",375,375
2025-11-12,2025-12-16,CE,"26,000.00",364.05,411.90,358.25,396.55,390.70,396.55,8475,"22,35,81,682.50","32,31,682.50",4800,4800
